shots	 electron_density:reliability	 cbd	 cb	 breakdown_field	 tb	 electron_temperature_max	 pressure_initial	 tcd	 input_power_mean	 breakdown_voltage	 plasma_life	 breakdown_time	 lb	 electron_density_mean	 ust	 plasma_current_decay	 cst	 tst	 plasma	 electron_confinement_time	 chamber_temperature	 breakdown_rate	 loop_voltage_mean	 pressure_request	 electron_confinement_t98	 zeff	 toroidal_field_mean	 chamber_resistance	 pressure	 chamber_inductance	 toroidal_field_max	 tbd	 input_power_plasma_mean	 breakdown_rate_err	 ubd	 plasma_current_mean	 breakdown_probability	 discharge_aborted	 pressure_chamber	 ucd	 electron_density_equilibrium	 ccd	 loop_voltage_max	 ub	 
29204	  nan	  0.0036	  0.0675	  0.18073	  0.005	  13.689	  0.66563	  0.01	  9887.8	  12.313	  0.00554	  0.012517	  0.0028	  nan	  0	  3.0402e+06	  0.0027	  0.005	  1	  1.996e-05	  27.5	  nan	  11.098	  20	  nan	  3	  0.22796	  0.0097	  22.398	  1.2e-06	  0.29497	  0.005	  8227.2	  nan	  0	  890.95	  94	  nan	  nan	  500	  5.4075e+18	  0.0135	  17.476	  700	 
29205	  nan	  0.0036	  0.0675	  0.18405	  0.005	  11.805	  0.63811	  0.01	  6525.4	  11.957	  0.0051	  0.012609	  0.0028	  nan	  0	  3.7668e+06	  0.0027	  0.005	  1	  2.3356e-05	  27.3	  nan	  11.071	  20	  nan	  3	  0.22784	  0.0097	  22.744	  1.2e-06	  0.29687	  0.005	  6041.5	  nan	  0	  589.4	  94	  nan	  nan	  500	  5.4912e+18	  0.0135	  16.268	  700	 
29206	  nan	  0.0036	  0.0675	  0.17915	  0.005	  14.075	  0.6308	  0.01	  10354	  12.165	  0.00566	  0.012349	  0.0028	  nan	  0	  3.5241e+06	  0.0027	  0.005	  1	  1.9649e-05	  27	  nan	  11.038	  20	  nan	  3	  0.22863	  0.0097	  22.226	  1.2e-06	  0.29659	  0.005	  8552.2	  nan	  0	  938.06	  94	  nan	  nan	  500	  5.3662e+18	  0.0135	  17.953	  700	 
29207	  nan	  0.0036	  0.0675	  0.1858	  0.005	  12.541	  0.62598	  0.01	  5469.8	  12.622	  0.00498	  0.012815	  0.0028	  nan	  0	  2.792e+06	  0.0027	  0.005	  1	  2.2625e-05	  27.2	  nan	  11.85	  20	  nan	  3	  0.22911	  0.0097	  22.744	  1.2e-06	  0.29339	  0.005	  5411.5	  nan	  0	  461.59	  94	  nan	  nan	  500	  5.4912e+18	  0.0135	  16.019	  700	 
29208	  nan	  0.0036	  0.0675	  0.057063	  0.005	  27.901	  0.61173	  0.0061	  18907	  11.367	  0.00714	  0.00805	  0.0028	  nan	  0	  7.617e+06	  0.0027	  0.005	  1	  1.6673e-05	  26.9	  nan	  8.8556	  20	  nan	  3	  0.11343	  0.0097	  17.186	  1.2e-06	  0.208	  0.005	  14752	  nan	  0	  2135	  91	  nan	  nan	  500	  4.1493e+18	  0.0135	  23.974	  500	 
29209	  nan	  0.0036	  0.0675	  0.20683	  0.005	  16.986	  0.35062	  0.009	  15021	  12.447	  0.00694	  0.0111	  0.0028	  nan	  0	  3.6381e+06	  0.0027	  0.005	  1	  2.4317e-05	  26.9	  nan	  11.138	  30	  nan	  3	  0.29398	  0.0097	  31.518	  1.2e-06	  0.40125	  0.005	  12784	  nan	  0	  1348.6	  93	  nan	  nan	  550	  7.6096e+18	  0.0135	  18.987	  1000	 
29210	  nan	  0.0036	  0.0675	  0.17384	  0.005	  22.618	  0.35197	  0.01	  18835	  11.964	  0.00722	  0.01223	  0.0028	  nan	  0	  4.7341e+06	  0.0027	  0.005	  1	  1.2659e-05	  26.8	  nan	  9.7687	  20	  nan	  3	  0.23181	  0.0097	  14.854	  1.2e-06	  0.29265	  0.005	  14418	  nan	  0	  1928.1	  96	  nan	  nan	  500	  3.5862e+18	  0.0135	  21.529	  700	 
29211	  nan	  0.0036	  0.0675	  nan	  0.005	  nan	  0.33101	  0.02	  nan	  nan	  nan	  nan	  0.0028	  nan	  0	  1.6817e+07	  0.0027	  0.005	  0	  nan	  26.5	  nan	  nan	  16	  nan	  3	  nan	  0.0097	  16.35	  1.2e-06	  0.51424	  0.005	  nan	  nan	  0	  nan	  0	  nan	  nan	  100	  nan	  0.0135	  3.9142	  1300	 
29212	  nan	  0.0036	  0.0675	  nan	  0.005	  nan	  0.31249	  0.015	  nan	  nan	  nan	  nan	  0.0028	  nan	  0	  7.6881e+06	  0.0027	  0.005	  0	  nan	  26.6	  nan	  nan	  20	  nan	  3	  nan	  0.0097	  15.984	  1.2e-06	  0.3671	  0.005	  nan	  nan	  0	  nan	  nan	  nan	  nan	  400	  nan	  0.0135	  11.393	  900	 
29213	  nan	  0.0036	  0.0675	  nan	  0.005	  nan	  0.25891	  0.006	  nan	  nan	  nan	  nan	  0.0028	  nan	  0	  4.3472e+05	  0.0027	  0.005	  0	  nan	  26.4	  nan	  nan	  4	  nan	  3	  nan	  0.0097	  1.8337	  1.2e-06	  0.24879	  0.005	  nan	  nan	  0	  nan	  0	  nan	  nan	  500	  nan	  0.0135	  13.643	  600	 
