shots	 electron_density:reliability	 cbd	 cb	 breakdown_field	 tb	 electron_temperature_max	 pressure_initial	 tcd	 input_power_mean	 breakdown_voltage	 plasma_life	 breakdown_time	 lb	 electron_density_mean	 ust	 plasma_current_decay	 cst	 tst	 plasma	 electron_confinement_time	 chamber_temperature	 breakdown_rate	 loop_voltage_mean	 pressure_request	 electron_confinement_t98	 zeff	 toroidal_field_mean	 chamber_resistance	 pressure	 chamber_inductance	 toroidal_field_max	 tbd	 input_power_plasma_mean	 breakdown_rate_err	 ubd	 plasma_current_mean	 breakdown_probability	 discharge_aborted	 pressure_chamber	 ucd	 electron_density_equilibrium	 ccd	 loop_voltage_max	 ub	 
21000	  nan	  0.0036	  0.0675	  0.06077	  0.005	  33.988	  0.25301	  0.005	  17840	  10.024	  0.01078	  0.00709	  0.0028	  nan	  0	  8.8318e+06	  0.0027	  0.005	  1	  1.3015e-05	  60	  nan	  7.3181	  10	  nan	  3	  0.18554	  0.0097	  10.204	  1.2e-06	  0.31536	  0.005	  14707	  nan	  0	  2437.8	  90	  nan	  nan	  400	  2.4637e+18	  0.0135	  19.694	  800	 
21001	  nan	  0.0036	  0.0675	  0.059614	  0.005	  35.284	  0.25693	  0.005	  17730	  9.762	  0.0111	  0.007023	  0.0028	  nan	  0	  8.9205e+06	  0.0027	  0.005	  1	  1.3367e-05	  60	  nan	  7.2241	  10	  nan	  3	  0.19016	  0.0097	  10.28	  1.2e-06	  0.31827	  0.005	  14269	  nan	  0	  2454.3	  90	  nan	  nan	  400	  2.482e+18	  0.0135	  19.449	  800	 
21002	  nan	  0.0036	  0.0675	  0.060246	  0.005	  35.229	  0.25301	  0.005	  17943	  9.8627	  0.01114	  0.007035	  0.0028	  nan	  0	  9.0978e+06	  0.0027	  0.005	  1	  1.3392e-05	  60	  nan	  7.11	  10	  nan	  3	  0.19144	  0.0097	  10.124	  1.2e-06	  0.31987	  0.005	  14808	  nan	  0	  2523.7	  90	  nan	  nan	  400	  2.4442e+18	  0.0135	  19.878	  800	 
21003	  nan	  0.0036	  0.0675	  0.059842	  0.005	  34.959	  0.24821	  0.005	  18023	  9.8761	  0.01106	  0.007072	  0.0028	  nan	  0	  9.134e+06	  0.0027	  0.005	  1	  1.3407e-05	  60	  nan	  7.2711	  10	  nan	  3	  0.18688	  0.0097	  10.457	  1.2e-06	  0.31358	  0.005	  14512	  nan	  0	  2478.7	  90	  nan	  nan	  400	  2.5247e+18	  0.0135	  19.85	  800	 
21004	  nan	  0.0036	  0.0675	  0.060699	  0.005	  36.23	  0.24821	  0.005	  17515	  9.6344	  0.0115	  0.007039	  0.0028	  nan	  0	  9.373e+06	  0.0027	  0.005	  1	  1.3892e-05	  60	  nan	  6.9421	  10	  nan	  3	  0.19483	  0.0097	  10.09	  1.2e-06	  0.32168	  0.005	  14086	  nan	  0	  2523.1	  90	  nan	  nan	  400	  2.4361e+18	  0.0135	  19.629	  800	 
21005	  nan	  0.0036	  0.0675	  0.058833	  0.005	  37.149	  0.25496	  0.005	  18490	  9.715	  0.01158	  0.006987	  0.0028	  nan	  0	  9.4075e+06	  0.0027	  0.005	  1	  1.4317e-05	  60	  nan	  7.1436	  10	  nan	  3	  0.19349	  0.0097	  11	  1.2e-06	  0.31965	  0.005	  14678	  nan	  0	  2588.4	  90	  nan	  nan	  400	  2.6559e+18	  0.0135	  19.756	  800	 
21006	  nan	  0.0036	  0.0675	  0.060386	  0.005	  37.191	  0.24821	  0.005	  18510	  9.8358	  0.01154	  0.007046	  0.0028	  nan	  0	  9.8215e+06	  0.0027	  0.005	  1	  1.2888e-05	  60	  nan	  7.0093	  10	  nan	  3	  0.19439	  0.0097	  9.6587	  1.2e-06	  0.31903	  0.005	  14751	  nan	  0	  2640.8	  90	  nan	  nan	  400	  2.3319e+18	  0.0135	  19.991	  800	 
21007	  nan	  0.0036	  0.0675	  0.059707	  0.005	  37.173	  0.23794	  0.005	  18531	  9.762	  0.01154	  0.007026	  0.0028	  nan	  0	  1.0036e+07	  0.0027	  0.005	  1	  1.348e-05	  60	  nan	  7.0294	  10	  nan	  3	  0.1952	  0.0097	  10.145	  1.2e-06	  0.31919	  0.005	  14723	  nan	  0	  2636.3	  90	  nan	  nan	  400	  2.4493e+18	  0.0135	  19.947	  800	 
21008	  nan	  0.0036	  0.0675	  0.059568	  0.005	  37.562	  0.24255	  0.005	  18246	  9.7351	  0.01178	  0.007028	  0.0028	  nan	  0	  1.0213e+07	  0.0027	  0.005	  1	  1.3894e-05	  60	  nan	  6.8951	  10	  nan	  3	  0.19453	  0.0097	  10.138	  1.2e-06	  0.31729	  0.005	  14680	  nan	  0	  2646.2	  90	  nan	  nan	  400	  2.4477e+18	  0.0135	  19.874	  800	 
21009	  nan	  0.0036	  0.0675	  nan	  0.005	  nan	  0.23886	  0.005	  nan	  nan	  nan	  nan	  0.0028	  nan	  0	  3.3961e+06	  0.0027	  0.005	  0	  nan	  60	  nan	  nan	  10	  nan	  3	  nan	  0.0097	  10.063	  1.2e-06	  0.31911	  0.005	  nan	  nan	  0	  nan	  90	  nan	  nan	  400	  nan	  0.0135	  11.078	  800	 
21010	  nan	  0.0036	  0.0675	  0.059631	  0.005	  37.196	  0.24916	  0.005	  18223	  9.7754	  0.0117	  0.007035	  0.0028	  nan	  0	  1.0227e+07	  0.0027	  0.005	  1	  1.3655e-05	  60	  nan	  6.9623	  10	  nan	  3	  0.19378	  0.0097	  10.089	  1.2e-06	  0.31725	  0.005	  14304	  nan	  0	  2617.4	  90	  nan	  nan	  400	  2.4358e+18	  0.0135	  20.032	  800	 
21011	  nan	  0.0036	  0.0675	  0.058278	  0.005	  37.221	  0.23612	  0.005	  19680	  9.9432	  0.01154	  0.006972	  0.0028	  nan	  0	  1.0657e+07	  0.0027	  0.005	  1	  1.3336e-05	  60	  nan	  7.3651	  10	  nan	  3	  0.19269	  0.0097	  10.897	  1.2e-06	  0.31891	  0.005	  15522	  nan	  0	  2672.1	  90	  nan	  nan	  400	  2.6308e+18	  0.0135	  20.589	  800	 
21012	  nan	  0.0036	  0.0675	  nan	  0.005	  nan	  0.25108	  0.005	  nan	  nan	  nan	  nan	  0.0028	  nan	  0	  2.0148e+06	  0.0027	  0.005	  0	  nan	  60	  nan	  nan	  10	  nan	  3	  nan	  0.0097	  9.8095	  1.2e-06	  0.31735	  0.005	  nan	  nan	  0	  nan	  90	  nan	  nan	  400	  nan	  0.0135	  11.071	  800	 
21013	  nan	  0.0036	  0.0675	  0.058243	  0.005	  37.623	  0.2609	  0.005	  18212	  9.6545	  0.01174	  0.007006	  0.0028	  nan	  0	  1.0934e+07	  0.0027	  0.005	  1	  1.3903e-05	  60	  nan	  6.8817	  10	  nan	  3	  0.19243	  0.0097	  10.113	  1.2e-06	  0.31453	  0.005	  14602	  nan	  0	  2646.5	  90	  nan	  nan	  400	  2.4415e+18	  0.0135	  20.074	  800	 
